PRN No.,DSA(CSE2001) CAT1 (50),DSA(CSE2001) CAT2 (50),DSA(CSE2001) FAT (60),DSA(CSE2001)Grade,DMS(MAT1003) CAT1 (50),DMS(MAT1003)CAT2 (50),DMS(MAT1003)FAT (60),FEEE(ECE1002)CAT1 (50),FEEE(ECE1002) CAT2 (50),FEEE(ECE1002) FAT (60),FEEE(ECE1002) Lab (40),FEEE(ECE1002) Total (200),FEEE(ECE1002)Grade,ED(MEC1004) CAT1 (50),ED(MEC1004)CAT2 (50),ED(MEC1004)FAT (60),ED(MEC1004)Lab (40),ED(MEC1004) Total (200),CG(CSE2006) CAT1 (50),CG(CSE2006)CAT2 (50),CG(CSE2006)FAT (60),CG(CSE2006) Total (160),CG(CSE2006) Grade,FSM(MGT1020)FAT (60),FSM(MGT1020) Lab (40),FSM(MGT1020)Grade,DAA(CSE3004) CAT1 (50),DAA(CSE3004)  CAT2 (50),DAA(CSE3004) FAT (60),DAA(CSE3004) Grade,LSM(MGT1002) CAT1 (50),LSM(MGT1002) CAT2 (50),LSM(MGT1002) FAT (60),LSM(MGT1002) Grade,ADDA(MAT1002) CAT1 (50),ADDA(MAT1002) CAT2 (50),ADDA(MAT1002) FAT (60),ADDA(MAT1002) Lab (40),ADDA(MAT1002) Total (200),CSDF(CSE2011) CAT1 (50),CSDF(CSE2011) CAT2 (50),CSDF(CSE2011) FAT (60),CSDF(CSE2011) Lab (40),CSDF(CSE2011) Total (200),CN(CSE3003) CAT1 (50),CN(CSE3003) CAT2 (50),CN(CSE3003) FAT (60),CN(CSE3003) Total (160),CN(CSE3003) Grade,OOP(CSE2005) FAT (60),OOP(CSE2005) Lab (40),OOP(CSE2005) Grade,OS(CSE2008) CAT1 (50),OS(CSE2008) CAT2 (50),OS(CSE2008) FAT (60),OS(CSE2008) Lab (40),OS(CSE2008) Total (200),OS(CSE2008) Grade,SE(CSE1005) CAT1 (50),SE(CSE1005) CAT2 (50),SE(CSE1005) FAT (60),SE(CSE1005) Grade,DBMS(CSE2007) CAT1 (50),DBMS(CSE2007) CAT2 (50),DBMS(CSE2007) FAT (60),DBMS(CSE2007) Lab (40),DBMS(CSE2007) Total (200),DBMS(CSE2007) Grade,TBL(MGT1027) FAT (60),TBL(MGT1027) Lab (40),TBL(MGT1027) Grade,WT(CSE4004) CAT1 (50),WT(CSE4004) CAT2 (50),WT(CSE4004) Total (160),WT(CSE4004) Grade,CP(CSE3032) CAT1 (50),CP(CSE3032) CAT2 (50),CP(CSE3032) FAT (60),CP(CSE3032) Grade,OT(MAT2003) CAT1 (50),OT(MAT2003) CAT2 (50),OT(MAT2003) FAT (60),OT(MAT2003) Total (160),OT(MAT2003) Grade,NP(CSE3011) CAT1 (50),NP(CSE3011) CAT2 (50),NP(CSE3011) FAT (60),NP(CSE3011) Total (160),NP(CSE3011) Grade,MAD(CSE4002) CAT1 (50),MAD(CSE4002) CAT2 (50),MAD(CSE4002) Lab (40),MAD(CSE4002) Total (200),C(ONL1002) FAT (60),C(ONL1002) Lab (40),C(ONL1002) Grade,AFE(MGT1008) CAT1 (50),AFE(MGT1008) CAT2 (50),AFE(MGT1008) Total (160),AFE(MGT1008) Grade,STAT(MAT1001) ESTAT (70),STAT(MAT1001) ISTAT (30),STAT(MAT1001) FAT (60),STAT(MAT1001) Total (160),STAT(MAT1001) Grade, Sem-VI Total (940),NLP(CSE3015) CAT1 (50),NLP(CSE3015) CAT2 (50),NLP(CSE3015) Total (160),NLP(CSE3015) Grade,IML(CSE3008) CAT1 (50),IML(CSE3008) CAT2 (50),IML(CSE3008) FAT (60),OPTO(PHY2004) CAT1 (50),OPTO(PHY2004) CAT2 (50),OPTO(PHY2004) FAT (60),OPTO(PHY2004) Lab (40),OPTO(PHY2004) Total (200),OPTO(PHY2004) Grade,NANO(PHY2005) FAT (60),NANO(PHY2005) Lab (40),NANO(PHY2005) Grade,FRENCH-I(FRL1001) FAT (60),FRENCH-I(FRL1001) Lab (40),FRENCH-I(FRL1001) Total (100),FRENCH-I(FRL1001) Grade,LA(MAT2005) CAT1 (50),LA(MAT2005) CAT2 (50),LA(MAT2005) Total (100),LA(MAT2005) Grade,EVS(CHY1001) CAT1 (50),EVS(CHY1001) CAT2 (50),EVS(CHY1001) FAT (60),EVS(CHY1001) Total (160),EVS(CHY1001) Grade,NME(MAT2001) CAT1 (50),NME(MAT2001) CAT2 (50),NME(MAT2001) FAT (60),NME(MAT2001) Total (160),NME(MAT2001) Grade,ITC(CSE2013) CAT1 (50),ITC(CSE2013) CAT2 (50),ITC(CSE2013) FAT (60),ITC(CSE2013) Lab (40),ITC(CSE2013) Total (200),ITC(CSE2013) Grade,COA(ECE2002) FAT (60),COA(ECE2002) Lab (40),COA(ECE2002) Grade,SNA(CSE4008)  CAT1 (50),SNA(CSE4008) CAT2 (50),SNA(CSE4008) FAT (60),SNA(CSE4008) Total (160),SNA(CSE4008) Grade,FOM(MGT1003) CAT1 (50),FOM(MGT1003) CAT2 (50)
W30,47,29,24,6,40,18,18,43,18,20,40,121,4,56,27,23,38,144,36,21,18,75,4,20,39,5,47,27,17,5,37,24,22,4,37,24,20,39,120,47,19,18,40,124,50,28,22,100,6,19,42,6,35,27,23,38,123,5,29,25,23,4,15,25,20,44,104,1,23,42,6,41,18,74,3,32,28,23,4,30,18,18,66,4,33,25,21,79,4,37,20,41,116,21,43,6,31,13,55,3,28,21,20,69,3,540,30,18,63,4,32,19,18,35,20,22,42,119,4,20,45,6,22,48,56,5,44,20,64,4,30,24,22,76,4,70,25,22,117,6,70,27,23,44,164,6,23,46,6,68,25,24,117,6,65,22
W125,48,28,24,6,50,27,23,39,27,23,44,133,5,56,25,24,38,143,44,27,22,93,5,23,45,6,62,27,22,6,54,29,24,6,46,26,24,40,136,50,28,24,47,149,44,29,24,97,5,24,43,6,49,25,24,49,147,6,43,29,24,5,48,28,24,43,143,6,22,46,6,41,26,87,4,47,29,22,5,56,28,23,107,6,46,29,24,99,5,53,28,47,151,23,44,6,33,22,74,3,37,27,24,88,5,682,47,26,95,5,49,26,23,49,29,24,46,148,6,24,45,6,23,47,69,6,54,26,80,6,39,28,23,90,5,70,26,22,118,6,70,27,24,46,167,6,24,47,6,70,26,22,118,6,70,28
W76,60,29,25,6,49,22,22,41,27,23,33,124,5,43,28,23,39,133,46,22,20,88,5,21,35,5,58,29,23,6,42,28,24,5,41,25,19,35,120,49,24,21,44,138,47,28,23,98,5,22,40,6,50,28,24,34,136,5,43,24,22,5,38,28,23,35,124,5,21,42,6,28,29,81,4,45,27,23,5,48,26,22,96,5,49,28,24,101,6,48,24,40,134,19,37,5,37,25,82,4,56,27,23,106,6,665,46,21,85,4,37,24,21,43,23,22,42,130,5,23,45,6,21,41,63,6,46,26,72,5,33,29,24,86,4,70,26,23,119,6,70,29,24,47,170,6,23,46,6,70,25,23,118,6,70,25
W83,60,29,25,6,46,20,20,48,24,24,40,136,5,54,27,23,35,139,29,23,21,73,3,24,46,6,47,30,25,6,36,27,24,4,50,28,23,46,147,55,28,21,45,149,28,27,23,78,4,23,40,6,41,27,23,47,138,5,35,22,23,4,40,28,24,40,132,5,22,44,6,37,29,90,5,60,27,23,6,35,27,24,86,4,48,28,23,99,5,52,28,48,152,21,42,6,28,26,76,4,37,28,24,89,5,661,34,23,78,4,55,28,24,44,23,22,45,134,5,23,44,6,22,46,71,6,43,17,60,4,49,21,21,91,5,70,29,24,123,6,70,29,24,48,171,6,23,47,6,70,26,24,120,6,70,27
W6,25,18,18,1,33,15,16,32,18,17,32,99,3,19,22,18,30,89,19,21,20,60,1,17,32,4,39,16,14,3,30,20,18,4,30,24,21,40,115,29,18,16,22,85,28,28,23,79,4,16,38,5,30,17,22,44,113,4,32,24,20,4,28,22,19,42,111,4,21,38,6,28,22,69,3,29,25,22,4,33,20,19,72,3,28,23,21,72,3,35,21,35,111,18,35,5,29,18,60,2,32,25,22,79,4,536,28,18,60,2,28,20,18,31,22,20,35,108,4,21,40,6,21,32,66,6,33,17,50,4,40,22,20,82,4,58,23,21,102,6,70,25,21,38,154,6,19,41,5,70,25,21,116,6,70,24
W57,39,17,22,4,54,27,23,50,27,23,39,139,5,50,28,24,45,147,53,24,21,98,5,22,37,5,41,22,22,4,42,29,24,5,56,26,22,22,126,37,25,21,36,119,34,28,23,85,4,24,19,3,47,24,24,45,140,6,18,25,23,1,28,25,22,42,117,4,22,40,6,53,25,99,5,41,25,20,4,48,26,18,92,5,49,28,23,100,6,50,25,40,136,20,38,5,38,18,73,3,42,22,21,85,4,638,42,24,86,4,51,24,22,48,26,23,38,135,5,19,40,5,23,45,63,6,50,23,73,5,50,21,21,92,5,58,26,22,106,6,70,21,21,38,150,6,23,38,6,67,22,20,109,6,70,28
O32,35,29,24,5,45,27,22,34,27,22,32,115,4,55,26,24,40,145,35,26,19,80,4,22,36,5,37,25,23,4,30,24,17,3,48,28,23,45,144,39,26,21,43,129,35,17,15,67,4,23,40,6,36,27,22,40,125,5,35,25,22,4,33,19,18,40,110,4,21,30,5,42,29,95,5,28,29,24,4,31,26,22,79,4,38,25,21,84,4,40,27,42,131,23,40,6,24,27,77,4,28,25,21,74,3,604,36,26,84,4,34,28,23,32,26,22,45,125,5,20,42,6,23,49,72,6,37,26,63,4,28,26,22,76,4,70,27,22,119,6,70,27,22,46,165,6,21,42,6,65,27,23,115,6,54,27
O27,36,29,24,5,31,25,22,28,21,21,40,110,4,47,25,21,40,133,40,26,22,88,5,20,39,5,39,26,23,5,30,20,17,4,41,26,22,37,126,41,16,13,36,106,33,13,23,69,3,23,40,6,42,28,23,36,129,5,28,25,21,3,34,26,24,22,106,4,20,32,5,32,24,76,4,20,24,20,1,35,25,21,81,4,40,28,23,91,5,45,28,42,138,23,37,6,32,29,85,4,45,28,23,96,5,648,28,28,79,4,48,29,24,46,26,22,45,139,5,21,43,6,23,48,71,6,40,26,66,4,35,29,24,88,5,70,28,24,122,6,70,29,24,48,171,6,24,46,6,70,29,24,123,6,53,28
W98,57,29,25,6,61,28,24,47,29,24,45,145,6,39,28,24,41,132,54,28,24,106,6,24,46,6,53,30,25,6,46,29,24,5,56,29,24,48,157,55,28,24,49,156,46,27,23,96,5,23,43,6,53,28,24,48,153,6,49,28,24,6,62,29,24,44,159,6,24,47,6,43,29,96,5,50,29,24,6,55,28,24,107,6,51,28,23,102,6,56,28,48,156,24,48,6,39,29,92,5,41,29,24,94,5,728,48,29,101,6,59,28,24,50,28,24,45,147,6,22,42,6,23,44,71,6,46,29,75,5,50,29,24,103,6,70,28,24,122,6,70,29,24,48,171,6,23,46,6,70,27,24,121,6,70,28
W66,47,26,23,5,48,20,22,40,20,19,40,119,4,41,27,22,35,125,33,21,20,74,3,20,40,6,48,26,19,5,30,20,18,4,28,24,19,37,108,37,25,22,32,116,36,27,22,85,4,16,38,5,47,25,21,41,134,5,34,25,24,4,38,25,20,40,123,5,20,32,5,36,27,85,4,28,25,22,4,28,27,21,76,4,40,27,22,89,5,38,25,38,122,21,42,6,28,24,72,3,32,22,21,75,4,594,32,24,75,4,37,23,21,50,23,22,40,135,5,22,42,6,21,45,68,6,47,24,71,5,47,22,21,90,5,70,25,22,117,6,70,27,23,40,160,6,22,42,6,70,25,23,118,6,70,24
